domain,q_id,k,item_or_fact_id,answer_group,status,total_required_parts,hit_parts,missing_part_ids,approved_gold_candidate_chunk_ids,missing_gold_candidate_chunk_ids,retrieved_top_k_chunk_ids,relevant_document_wrong_chunk,first_relevant_rank_below_k,failure_types
evidence,Q04,10,E04,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""eb8e6342e4c6b718""],""P02"":[""83f118467efc5728""]}","{""P01"":[""eb8e6342e4c6b718""],""P02"":[""83f118467efc5728""]}","[""dbb489277f5e04ec"",""06088335dba8593e"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""a8e515879b50c710"",""2766fe681d182071"",""d432b3e48d9c75ba"",""ac434f4abb73b840"",""d2a6bad6c7c7e171"",""ddf20bff930c8c49""]",False,,relevant_document_below_k_wrong_chunk
evidence,Q04,10,E05,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""eb8e6342e4c6b718""],""P02"":[""83f118467efc5728""]}","{""P01"":[""eb8e6342e4c6b718""],""P02"":[""83f118467efc5728""]}","[""dbb489277f5e04ec"",""06088335dba8593e"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""a8e515879b50c710"",""2766fe681d182071"",""d432b3e48d9c75ba"",""ac434f4abb73b840"",""d2a6bad6c7c7e171"",""ddf20bff930c8c49""]",False,,relevant_document_below_k_wrong_chunk
evidence,Q05,10,C2,,missed,1,0,"[""P01""]","{""P01"":[""0092947ac4b1ebc2""]}","{""P01"":[""0092947ac4b1ebc2""]}","[""dbb489277f5e04ec"",""06088335dba8593e"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""79ddd90f5c73467d"",""6e776edb42ae8862"",""20b24c657b4c7aa6"",""b3ce4de460d88875"",""d0eb4d9e8f93b81a"",""774b5a81e402832f""]",True,45,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q05,10,C3,,missed,1,0,"[""P01""]","{""P01"":[""71f3e27f3268315d""]}","{""P01"":[""71f3e27f3268315d""]}","[""dbb489277f5e04ec"",""06088335dba8593e"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""79ddd90f5c73467d"",""6e776edb42ae8862"",""20b24c657b4c7aa6"",""b3ce4de460d88875"",""d0eb4d9e8f93b81a"",""774b5a81e402832f""]",True,,correct_document_wrong_chunk
evidence,Q05,10,P1,,partial,2,1,"[""P01""]","{""P01"":[""174356ea1cdddbb4""],""P02"":[""79ddd90f5c73467d""]}","{""P01"":[""174356ea1cdddbb4""]}","[""dbb489277f5e04ec"",""06088335dba8593e"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""79ddd90f5c73467d"",""6e776edb42ae8862"",""20b24c657b4c7aa6"",""b3ce4de460d88875"",""d0eb4d9e8f93b81a"",""774b5a81e402832f""]",False,12,multi_part_partial_hit;relevant_chunk_below_k
evidence,Q05,10,P2,,partial,2,1,"[""P01""]","{""P01"":[""174356ea1cdddbb4""],""P02"":[""79ddd90f5c73467d""]}","{""P01"":[""174356ea1cdddbb4""]}","[""dbb489277f5e04ec"",""06088335dba8593e"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""79ddd90f5c73467d"",""6e776edb42ae8862"",""20b24c657b4c7aa6"",""b3ce4de460d88875"",""d0eb4d9e8f93b81a"",""774b5a81e402832f""]",False,12,multi_part_partial_hit;relevant_chunk_below_k
evidence,Q05,10,P3,,missed,1,0,"[""P01""]","{""P01"":[""a35a2f866d18fd19""]}","{""P01"":[""a35a2f866d18fd19""]}","[""dbb489277f5e04ec"",""06088335dba8593e"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""79ddd90f5c73467d"",""6e776edb42ae8862"",""20b24c657b4c7aa6"",""b3ce4de460d88875"",""d0eb4d9e8f93b81a"",""774b5a81e402832f""]",True,35,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q05,10,X10,,partial,2,1,"[""P01""]","{""P01"":[""66a2dbe9fa036e7f""],""P02"":[""6e776edb42ae8862""]}","{""P01"":[""66a2dbe9fa036e7f""]}","[""dbb489277f5e04ec"",""06088335dba8593e"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""79ddd90f5c73467d"",""6e776edb42ae8862"",""20b24c657b4c7aa6"",""b3ce4de460d88875"",""d0eb4d9e8f93b81a"",""774b5a81e402832f""]",True,,multi_part_partial_hit;correct_document_wrong_chunk
evidence,Q05,10,X3,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""a35a2f866d18fd19""],""P02"":[""e19520eac6dfcec3""]}","{""P01"":[""a35a2f866d18fd19""],""P02"":[""e19520eac6dfcec3""]}","[""dbb489277f5e04ec"",""06088335dba8593e"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""79ddd90f5c73467d"",""6e776edb42ae8862"",""20b24c657b4c7aa6"",""b3ce4de460d88875"",""d0eb4d9e8f93b81a"",""774b5a81e402832f""]",True,35,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q05,10,X4,,partial,3,2,"[""P03""]","{""P01"":[""6e776edb42ae8862""],""P02"":[""79ddd90f5c73467d""],""P03"":[""66a2dbe9fa036e7f""]}","{""P03"":[""66a2dbe9fa036e7f""]}","[""dbb489277f5e04ec"",""06088335dba8593e"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""79ddd90f5c73467d"",""6e776edb42ae8862"",""20b24c657b4c7aa6"",""b3ce4de460d88875"",""d0eb4d9e8f93b81a"",""774b5a81e402832f""]",True,,multi_part_partial_hit;correct_document_wrong_chunk
evidence,Q05,10,X5,,partial,3,1,"[""P01"",""P03""]","{""P01"":[""3e9b386d72ec488d""],""P02"":[""6e776edb42ae8862""],""P03"":[""66a2dbe9fa036e7f""]}","{""P01"":[""3e9b386d72ec488d""],""P03"":[""66a2dbe9fa036e7f""]}","[""dbb489277f5e04ec"",""06088335dba8593e"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""79ddd90f5c73467d"",""6e776edb42ae8862"",""20b24c657b4c7aa6"",""b3ce4de460d88875"",""d0eb4d9e8f93b81a"",""774b5a81e402832f""]",True,,multi_part_partial_hit;correct_document_wrong_chunk
evidence,Q05,10,X6,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""6c13ce758c15dc53""],""P02"":[""b0d90e24d2027e75""]}","{""P01"":[""6c13ce758c15dc53""],""P02"":[""b0d90e24d2027e75""]}","[""dbb489277f5e04ec"",""06088335dba8593e"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""79ddd90f5c73467d"",""6e776edb42ae8862"",""20b24c657b4c7aa6"",""b3ce4de460d88875"",""d0eb4d9e8f93b81a"",""774b5a81e402832f""]",True,15,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q05,10,X7,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""7ea9625cd7a3f6d5""],""P02"":[""76d790d50854bb98""]}","{""P01"":[""7ea9625cd7a3f6d5""],""P02"":[""76d790d50854bb98""]}","[""dbb489277f5e04ec"",""06088335dba8593e"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""79ddd90f5c73467d"",""6e776edb42ae8862"",""20b24c657b4c7aa6"",""b3ce4de460d88875"",""d0eb4d9e8f93b81a"",""774b5a81e402832f""]",True,,correct_document_wrong_chunk
evidence,Q05,10,X8,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""82260536b27408ff""],""P02"":[""3e9b386d72ec488d""]}","{""P01"":[""82260536b27408ff""],""P02"":[""3e9b386d72ec488d""]}","[""dbb489277f5e04ec"",""06088335dba8593e"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""79ddd90f5c73467d"",""6e776edb42ae8862"",""20b24c657b4c7aa6"",""b3ce4de460d88875"",""d0eb4d9e8f93b81a"",""774b5a81e402832f""]",True,24,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q05,10,X9,,partial,2,1,"[""P01""]","{""P01"":[""3e9b386d72ec488d""],""P02"":[""6e776edb42ae8862""]}","{""P01"":[""3e9b386d72ec488d""]}","[""dbb489277f5e04ec"",""06088335dba8593e"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""79ddd90f5c73467d"",""6e776edb42ae8862"",""20b24c657b4c7aa6"",""b3ce4de460d88875"",""d0eb4d9e8f93b81a"",""774b5a81e402832f""]",True,,multi_part_partial_hit;correct_document_wrong_chunk
evidence,Q07,10,E01,,missed,1,0,"[""P01""]","{""P01"":[""cd43ad63db9cabc4""]}","{""P01"":[""cd43ad63db9cabc4""]}","[""20b1aac4959d3bba"",""a8e515879b50c710"",""6728f968c69afa22"",""2766fe681d182071"",""f6dd681f7d1e7161"",""47da2b27f0405c26"",""8065af740ccebfd5"",""ac434f4abb73b840"",""62160d28d70f7a80"",""174356ea1cdddbb4""]",False,36,relevant_chunk_below_k
evidence,Q07,10,E02,,missed,1,0,"[""P01""]","{""P01"":[""b448abd2fe322a29""]}","{""P01"":[""b448abd2fe322a29""]}","[""20b1aac4959d3bba"",""a8e515879b50c710"",""6728f968c69afa22"",""2766fe681d182071"",""f6dd681f7d1e7161"",""47da2b27f0405c26"",""8065af740ccebfd5"",""ac434f4abb73b840"",""62160d28d70f7a80"",""174356ea1cdddbb4""]",True,,correct_document_wrong_chunk
evidence,Q07,10,E03,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""2d9496c49d2f3337""],""P02"":[""b3408b8474c51e96""]}","{""P01"":[""2d9496c49d2f3337""],""P02"":[""b3408b8474c51e96""]}","[""20b1aac4959d3bba"",""a8e515879b50c710"",""6728f968c69afa22"",""2766fe681d182071"",""f6dd681f7d1e7161"",""47da2b27f0405c26"",""8065af740ccebfd5"",""ac434f4abb73b840"",""62160d28d70f7a80"",""174356ea1cdddbb4""]",True,,correct_document_wrong_chunk
evidence,Q07,10,E04,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""cd43ad63db9cabc4""],""P02"":[""f0db369c68121f7b""]}","{""P01"":[""cd43ad63db9cabc4""],""P02"":[""f0db369c68121f7b""]}","[""20b1aac4959d3bba"",""a8e515879b50c710"",""6728f968c69afa22"",""2766fe681d182071"",""f6dd681f7d1e7161"",""47da2b27f0405c26"",""8065af740ccebfd5"",""ac434f4abb73b840"",""62160d28d70f7a80"",""174356ea1cdddbb4""]",True,36,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q07,10,E07,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""b3408b8474c51e96""],""P02"":[""2d9496c49d2f3337""]}","{""P01"":[""b3408b8474c51e96""],""P02"":[""2d9496c49d2f3337""]}","[""20b1aac4959d3bba"",""a8e515879b50c710"",""6728f968c69afa22"",""2766fe681d182071"",""f6dd681f7d1e7161"",""47da2b27f0405c26"",""8065af740ccebfd5"",""ac434f4abb73b840"",""62160d28d70f7a80"",""174356ea1cdddbb4""]",True,,correct_document_wrong_chunk
evidence,Q07,10,E08,,missed,1,0,"[""P01""]","{""P01"":[""b3408b8474c51e96""]}","{""P01"":[""b3408b8474c51e96""]}","[""20b1aac4959d3bba"",""a8e515879b50c710"",""6728f968c69afa22"",""2766fe681d182071"",""f6dd681f7d1e7161"",""47da2b27f0405c26"",""8065af740ccebfd5"",""ac434f4abb73b840"",""62160d28d70f7a80"",""174356ea1cdddbb4""]",True,,correct_document_wrong_chunk
evidence,Q07,10,E09,,missed,1,0,"[""P01""]","{""P01"":[""b3408b8474c51e96""]}","{""P01"":[""b3408b8474c51e96""]}","[""20b1aac4959d3bba"",""a8e515879b50c710"",""6728f968c69afa22"",""2766fe681d182071"",""f6dd681f7d1e7161"",""47da2b27f0405c26"",""8065af740ccebfd5"",""ac434f4abb73b840"",""62160d28d70f7a80"",""174356ea1cdddbb4""]",True,,correct_document_wrong_chunk
evidence,Q07,10,E10,,missed,1,0,"[""P01""]","{""P01"":[""3b71f81f22a8aa92""]}","{""P01"":[""3b71f81f22a8aa92""]}","[""20b1aac4959d3bba"",""a8e515879b50c710"",""6728f968c69afa22"",""2766fe681d182071"",""f6dd681f7d1e7161"",""47da2b27f0405c26"",""8065af740ccebfd5"",""ac434f4abb73b840"",""62160d28d70f7a80"",""174356ea1cdddbb4""]",True,,correct_document_wrong_chunk
evidence,Q07,10,E11,,missed,1,0,"[""P01""]","{""P01"":[""2fb4339dafbbf91b""]}","{""P01"":[""2fb4339dafbbf91b""]}","[""20b1aac4959d3bba"",""a8e515879b50c710"",""6728f968c69afa22"",""2766fe681d182071"",""f6dd681f7d1e7161"",""47da2b27f0405c26"",""8065af740ccebfd5"",""ac434f4abb73b840"",""62160d28d70f7a80"",""174356ea1cdddbb4""]",True,,correct_document_wrong_chunk
evidence,Q07,10,E12,,missed,1,0,"[""P01""]","{""P01"":[""bff202eff88457f6""]}","{""P01"":[""bff202eff88457f6""]}","[""20b1aac4959d3bba"",""a8e515879b50c710"",""6728f968c69afa22"",""2766fe681d182071"",""f6dd681f7d1e7161"",""47da2b27f0405c26"",""8065af740ccebfd5"",""ac434f4abb73b840"",""62160d28d70f7a80"",""174356ea1cdddbb4""]",False,,relevant_document_below_k_wrong_chunk
evidence,Q09,10,E01,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""232489ee23a22d73""],""P02"":[""a48e6b83a0ab404c""]}","{""P01"":[""232489ee23a22d73""],""P02"":[""a48e6b83a0ab404c""]}","[""89fd8f0051c6aa1f"",""73b0a654d9a79c41"",""c940e45164b9682b"",""14a099c112459c2a"",""47da2b27f0405c26"",""8065af740ccebfd5"",""a6a23ef821c00acc"",""337edb735648a4b3"",""8c776f12b68236bb"",""243d1503e2597719""]",True,50,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q09,10,E02,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""d062ea62c0c7a087""],""P02"":[""4b168a2331d5092a""]}","{""P01"":[""d062ea62c0c7a087""],""P02"":[""4b168a2331d5092a""]}","[""89fd8f0051c6aa1f"",""73b0a654d9a79c41"",""c940e45164b9682b"",""14a099c112459c2a"",""47da2b27f0405c26"",""8065af740ccebfd5"",""a6a23ef821c00acc"",""337edb735648a4b3"",""8c776f12b68236bb"",""243d1503e2597719""]",True,32,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q09,10,E03,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""183df7b014300817""],""P02"":[""4b168a2331d5092a""]}","{""P01"":[""183df7b014300817""],""P02"":[""4b168a2331d5092a""]}","[""89fd8f0051c6aa1f"",""73b0a654d9a79c41"",""c940e45164b9682b"",""14a099c112459c2a"",""47da2b27f0405c26"",""8065af740ccebfd5"",""a6a23ef821c00acc"",""337edb735648a4b3"",""8c776f12b68236bb"",""243d1503e2597719""]",True,,correct_document_wrong_chunk
evidence,Q09,10,E04,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""d062ea62c0c7a087""],""P02"":[""4b168a2331d5092a""]}","{""P01"":[""d062ea62c0c7a087""],""P02"":[""4b168a2331d5092a""]}","[""89fd8f0051c6aa1f"",""73b0a654d9a79c41"",""c940e45164b9682b"",""14a099c112459c2a"",""47da2b27f0405c26"",""8065af740ccebfd5"",""a6a23ef821c00acc"",""337edb735648a4b3"",""8c776f12b68236bb"",""243d1503e2597719""]",True,32,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q09,10,E05,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""183df7b014300817""],""P02"":[""ef5d743734a10e13""]}","{""P01"":[""183df7b014300817""],""P02"":[""ef5d743734a10e13""]}","[""89fd8f0051c6aa1f"",""73b0a654d9a79c41"",""c940e45164b9682b"",""14a099c112459c2a"",""47da2b27f0405c26"",""8065af740ccebfd5"",""a6a23ef821c00acc"",""337edb735648a4b3"",""8c776f12b68236bb"",""243d1503e2597719""]",True,,correct_document_wrong_chunk
evidence,Q09,10,E06,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""3601d950af0768d8""],""P02"":[""e66d582266f6268b""]}","{""P01"":[""3601d950af0768d8""],""P02"":[""e66d582266f6268b""]}","[""89fd8f0051c6aa1f"",""73b0a654d9a79c41"",""c940e45164b9682b"",""14a099c112459c2a"",""47da2b27f0405c26"",""8065af740ccebfd5"",""a6a23ef821c00acc"",""337edb735648a4b3"",""8c776f12b68236bb"",""243d1503e2597719""]",True,,correct_document_wrong_chunk
evidence,Q09,10,E07,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""dc7657fbb8f5ad36""],""P02"":[""6a448a47ec4c8d9f""]}","{""P01"":[""dc7657fbb8f5ad36""],""P02"":[""6a448a47ec4c8d9f""]}","[""89fd8f0051c6aa1f"",""73b0a654d9a79c41"",""c940e45164b9682b"",""14a099c112459c2a"",""47da2b27f0405c26"",""8065af740ccebfd5"",""a6a23ef821c00acc"",""337edb735648a4b3"",""8c776f12b68236bb"",""243d1503e2597719""]",True,,correct_document_wrong_chunk
evidence,Q09,10,E08,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""d062ea62c0c7a087""],""P02"":[""00788debeba7afea""]}","{""P01"":[""d062ea62c0c7a087""],""P02"":[""00788debeba7afea""]}","[""89fd8f0051c6aa1f"",""73b0a654d9a79c41"",""c940e45164b9682b"",""14a099c112459c2a"",""47da2b27f0405c26"",""8065af740ccebfd5"",""a6a23ef821c00acc"",""337edb735648a4b3"",""8c776f12b68236bb"",""243d1503e2597719""]",True,32,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q09,10,E09,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""8dc1bd40bdabd348""],""P02"":[""00788debeba7afea""]}","{""P01"":[""8dc1bd40bdabd348""],""P02"":[""00788debeba7afea""]}","[""89fd8f0051c6aa1f"",""73b0a654d9a79c41"",""c940e45164b9682b"",""14a099c112459c2a"",""47da2b27f0405c26"",""8065af740ccebfd5"",""a6a23ef821c00acc"",""337edb735648a4b3"",""8c776f12b68236bb"",""243d1503e2597719""]",True,43,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q09,10,E10,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""87c5a0b0a6d21544""],""P02"":[""fd1263442d78bebb""]}","{""P01"":[""87c5a0b0a6d21544""],""P02"":[""fd1263442d78bebb""]}","[""89fd8f0051c6aa1f"",""73b0a654d9a79c41"",""c940e45164b9682b"",""14a099c112459c2a"",""47da2b27f0405c26"",""8065af740ccebfd5"",""a6a23ef821c00acc"",""337edb735648a4b3"",""8c776f12b68236bb"",""243d1503e2597719""]",True,,correct_document_wrong_chunk
evidence,Q09,10,E11,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""d062ea62c0c7a087""],""P02"":[""4b168a2331d5092a""]}","{""P01"":[""d062ea62c0c7a087""],""P02"":[""4b168a2331d5092a""]}","[""89fd8f0051c6aa1f"",""73b0a654d9a79c41"",""c940e45164b9682b"",""14a099c112459c2a"",""47da2b27f0405c26"",""8065af740ccebfd5"",""a6a23ef821c00acc"",""337edb735648a4b3"",""8c776f12b68236bb"",""243d1503e2597719""]",True,32,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q10,10,C1,,missed,1,0,"[""P01""]","{""P01"":[""e5efb84cd87d6e58""]}","{""P01"":[""e5efb84cd87d6e58""]}","[""47da2b27f0405c26"",""8065af740ccebfd5"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""6728f968c69afa22"",""20b1aac4959d3bba"",""f6dd681f7d1e7161"",""86af7717917fd81b"",""7ed3f43c3fafd371"",""0cf88f50a10220d8""]",False,32,relevant_chunk_below_k
evidence,Q10,10,C2,,missed,1,0,"[""P01""]","{""P01"":[""0d90ceeeffa01abc""]}","{""P01"":[""0d90ceeeffa01abc""]}","[""47da2b27f0405c26"",""8065af740ccebfd5"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""6728f968c69afa22"",""20b1aac4959d3bba"",""f6dd681f7d1e7161"",""86af7717917fd81b"",""7ed3f43c3fafd371"",""0cf88f50a10220d8""]",False,,relevant_document_below_k_wrong_chunk
evidence,Q10,10,C3,,missed,1,0,"[""P01""]","{""P01"":[""0d90ceeeffa01abc""]}","{""P01"":[""0d90ceeeffa01abc""]}","[""47da2b27f0405c26"",""8065af740ccebfd5"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""6728f968c69afa22"",""20b1aac4959d3bba"",""f6dd681f7d1e7161"",""86af7717917fd81b"",""7ed3f43c3fafd371"",""0cf88f50a10220d8""]",False,,relevant_document_below_k_wrong_chunk
evidence,Q10,10,C4,,missed,1,0,"[""P01""]","{""P01"":[""10b5f2f74c4f4541""]}","{""P01"":[""10b5f2f74c4f4541""]}","[""47da2b27f0405c26"",""8065af740ccebfd5"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""6728f968c69afa22"",""20b1aac4959d3bba"",""f6dd681f7d1e7161"",""86af7717917fd81b"",""7ed3f43c3fafd371"",""0cf88f50a10220d8""]",False,,relevant_document_below_k_wrong_chunk
evidence,Q10,10,C5,,missed,1,0,"[""P01""]","{""P01"":[""10b5f2f74c4f4541""]}","{""P01"":[""10b5f2f74c4f4541""]}","[""47da2b27f0405c26"",""8065af740ccebfd5"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""6728f968c69afa22"",""20b1aac4959d3bba"",""f6dd681f7d1e7161"",""86af7717917fd81b"",""7ed3f43c3fafd371"",""0cf88f50a10220d8""]",False,,relevant_document_below_k_wrong_chunk
evidence,Q10,10,C7,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""9e312392c4bfa410""],""P02"":[""4b168a2331d5092a""]}","{""P01"":[""9e312392c4bfa410""],""P02"":[""4b168a2331d5092a""]}","[""47da2b27f0405c26"",""8065af740ccebfd5"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""6728f968c69afa22"",""20b1aac4959d3bba"",""f6dd681f7d1e7161"",""86af7717917fd81b"",""7ed3f43c3fafd371"",""0cf88f50a10220d8""]",True,,correct_document_wrong_chunk
evidence,Q10,10,P1,,missed,1,0,"[""P01""]","{""P01"":[""cd43ad63db9cabc4""]}","{""P01"":[""cd43ad63db9cabc4""]}","[""47da2b27f0405c26"",""8065af740ccebfd5"",""0df8785a85a48dad"",""d719c6b5c2cb5687"",""6728f968c69afa22"",""20b1aac4959d3bba"",""f6dd681f7d1e7161"",""86af7717917fd81b"",""7ed3f43c3fafd371"",""0cf88f50a10220d8""]",False,24,relevant_chunk_below_k
